2023-12-12|12:12:12|PAYCHECK|Kohls|1000.0
2023-12-12|12:23:112|REFUND|AMAZON|500.0
2024-05-23|03:45:25|Credit Card|Discover|-500.0
2024-09-12|12:45:30|Car Insurance|Geico|-400.0
2024-10-22|12:25:32|Paycheck|TJ MAXX|1200.0
2024-10-22|12:36:21|Lottery|Lottery INC|10000.0
2024-12-12|12:38:10|Lottery|Lottery INC|3000000.00
2024-07-23|04:23:15|Rent|Apartments |-2000.00
2022-12-25|05:23:15|Christmas Bonus|Monster INC.|5000.0
2022-12-25|05:32:15|Christmas Bonus|Monster Inc.|5000.00
2023-11-15|09:00:00|Grocery Store|Walmart|-150.0
2023-12-16|10:15:30|Utility Bill|City Utilities|-120.0
2024-01-17|11:30:45|Gas|Shell|-60.0
2024-02-18|14:22:10|Dining Out|Olive Garden|-80.0
2025-03-19|15:00:00|Salary|ABC Corp|3000.0
2025-04-20|16:30:00|Subscription|Spotify|-10.0
2026-05-21|17:00:00|Online Purchase|eBay|-200.0
2026-06-22|08:15:30|Paycheck|XYZ Inc|1500.0
2027-07-23|09:45:00|Investment|Stock Market|2000.0
2027-08-24|10:00:00|Refund|Target|50.0
2028-09-25|12:00:00|Health Insurance|Blue Cross|-300.0
2028-10-26|13:00:00|Loan Payment|Bank|-500.0
2029-11-27|14:30:00|Home Repair|Handyman|-250.0
2029-12-28|15:15:00|Gift|Friends|100.0
2030-01-29|16:00:00|Charity|Local Charity|-75.0
2030-02-30|17:30:00|Freelance Work|Self-Employed|800.0
2022-03-31|08:00:00|Rent|Apartment|-1200.0
2021-04-01|09:30:00|Birthday Gift|Amazon|-150.0
2020-05-02|11:00:00|Travel|Airlines|-400.0
2019-06-03|12:45:00|Bonus|Company|-500.0
2018-07-04|13:15:00|Credit Card Payment|Visa|-250.0
2024-10-22|8:41:00|Refund|Amazom|300.00
2024-10-22|8:42:00|Rent|Apartments |-1000.00
